Año,Trimestre,Mes,Provincia,Numero_llamadas
2009,Primero,Enero,Almería,88
2009,Primero,Enero,Cádiz,119
2009,Primero,Enero,Córdoba,47
2009,Primero,Enero,Granada,106
2009,Primero,Enero,Huelva,58
2009,Primero,Enero,Jaén,56
2009,Primero,Enero,Málaga,187
2009,Primero,Enero,Sevilla,273
2009,Primero,Enero,Huesca,19
2009,Primero,Enero,Teruel,9
2009,Primero,Enero,Zaragoza,94
2009,Primero,Enero,Asturias,140
2009,Primero,Enero,Illes Balears,150
2009,Primero,Enero,Las Palmas,213
2009,Primero,Enero,Santa Cruz de Tenerife,145
2009,Primero,Enero,Cantabria,92
2009,Primero,Enero,Ávila,14
2009,Primero,Enero,Burgos,38
2009,Primero,Enero,León,50
2009,Primero,Enero,Palencia,16
2009,Primero,Enero,Salamanca,42
2009,Primero,Enero,Segovia,9
2009,Primero,Enero,Soria,9
2009,Primero,Enero,Valladolid,58
2009,Primero,Enero,Zamora,23
2009,Primero,Enero,Albacete,21
2009,Primero,Enero,Ciudad Real,45
2009,Primero,Enero,Cuenca,31
2009,Primero,Enero,Guadalajara,24
2009,Primero,Enero,Toledo,81
2009,Primero,Enero,Barcelona,655
2009,Primero,Enero,Girona,46
2009,Primero,Enero,Lleida,33
2009,Primero,Enero,Tarragona,74
2009,Primero,Enero,Alicante/Alacant,178
2009,Primero,Enero,Castellón/Castelló,54
2009,Primero,Enero,Valencia/València,328
2009,Primero,Enero,Badajoz,69
2009,Primero,Enero,Cáceres,47
2009,Primero,Enero,A Coruña,121
2009,Primero,Enero,Lugo,36
2009,Primero,Enero,Ourense,30
2009,Primero,Enero,Pontevedra,118
2009,Primero,Enero,Madrid,1504
2009,Primero,Enero,Murcia,181
2009,Primero,Enero,Navarra,71
2009,Primero,Enero,Araba/Álava,16
2009,Primero,Enero,Bizkaia,80
2009,Primero,Enero,Gipuzkoa,47
2009,Primero,Enero,La Rioja,34
2009,Primero,Enero,Ceuta,10
2009,Primero,Enero,Melilla,21
2009,Primero,Febrero,Almería,75
2009,Primero,Febrero,Cádiz,105
2009,Primero,Febrero,Córdoba,54
2009,Primero,Febrero,Granada,77
2009,Primero,Febrero,Huelva,33
2009,Primero,Febrero,Jaén,66
2009,Primero,Febrero,Málaga,163
2009,Primero,Febrero,Sevilla,220
2009,Primero,Febrero,Huesca,18
2009,Primero,Febrero,Teruel,4
2009,Primero,Febrero,Zaragoza,97
2009,Primero,Febrero,Asturias,106
2009,Primero,Febrero,Illes Balears,104
2009,Primero,Febrero,Las Palmas,134
2009,Primero,Febrero,Santa Cruz de Tenerife,172
2009,Primero,Febrero,Cantabria,80
2009,Primero,Febrero,Ávila,15
2009,Primero,Febrero,Burgos,47
2009,Primero,Febrero,León,50
2009,Primero,Febrero,Palencia,11
