Año,Trimestre,Mes,Provincia,Edad_victima,Edad_agresor,Victimas_mortales
2009,Primero,Febrero,Granada,51-60 años,61-70 años,1
2009,Primero,Febrero,Huelva,31-40 años,31-40 años,1
2009,Primero,Febrero,Sevilla,21-30 años,21-30 años,1
2009,Primero,Febrero,Madrid,21-30 años,31-40 años,1
2009,Primero,Febrero,Madrid,31-40 años,31-40 años,1
2009,Primero,Marzo,Málaga,41-50 años,41-50 años,1
2009,Primero,Marzo,Santa Cruz de Tenerife,31-40 años,41-50 años,1
2009,Primero,Marzo,Tarragona,21-30 años,31-40 años,1
2009,Primero,Marzo,Castellón/Castelló,41-50 años,41-50 años,1
2009,Primero,Marzo,Valencia/València,61-70 años,51-60 años,1
2009,Primero,Marzo,Bizkaia,41-50 años,41-50 años,1
2009,Segundo,Abril,Granada,71-84 años,71-84 años,1
2009,Segundo,Abril,Cáceres,51-60 años,61-70 años,1
2009,Segundo,Mayo,Almería,41-50 años,41-50 años,1
2009,Segundo,Mayo,Santa Cruz de Tenerife,31-40 años,31-40 años,1
2009,Segundo,Mayo,Santa Cruz de Tenerife,41-50 años,41-50 años,1
2009,Segundo,Mayo,Barcelona,18-20 años,21-30 años,2
2009,Segundo,Mayo,Barcelona,31-40 años,51-60 años,1
2009,Segundo,Mayo,Alicante/Alacant,18-20 años,21-30 años,1
2009,Segundo,Mayo,Castellón/Castelló,31-40 años,31-40 años,1
2009,Segundo,Mayo,Gipuzkoa,31-40 años,31-40 años,1
2009,Segundo,Junio,Las Palmas,51-60 años,51-60 años,1
2009,Segundo,Junio,Barcelona,31-40 años,21-30 años,1
2009,Segundo,Junio,Alicante/Alacant,31-40 años,41-50 años,1
2009,Segundo,Junio,Madrid,21-30 años,21-30 años,1
2009,Segundo,Junio,Madrid,71-84 años,71-84 años,1
2009,Tercero,Julio,Málaga,51-60 años,51-60 años,1
2009,Tercero,Julio,Sevilla,51-60 años,51-60 años,1
2009,Tercero,Julio,Toledo,31-40 años,21-30 años,1
2009,Tercero,Julio,A Coruña,31-40 años,41-50 años,1
2009,Tercero,Julio,Murcia,41-50 años,61-70 años,1
2009,Tercero,Julio,Ceuta,21-30 años,31-40 años,1
2009,Tercero,Agosto,Málaga,61-70 años,61-70 años,1
2009,Tercero,Agosto,Barcelona,21-30 años,18-20 años,1
2009,Tercero,Agosto,Barcelona,41-50 años,41-50 años,1
2009,Tercero,Agosto,A Coruña,71-84 años,71-84 años,1
2009,Tercero,Agosto,Ourense,18-20 años,31-40 años,1
2009,Tercero,Agosto,Murcia,21-30 años,31-40 años,1
2009,Tercero,Septiembre,Almería,41-50 años,51-60 años,1
2009,Tercero,Septiembre,Santa Cruz de Tenerife,31-40 años,31-40 años,1
2009,Tercero,Septiembre,Ávila,21-30 años,21-30 años,1
2009,Tercero,Septiembre,Barcelona,21-30 años,31-40 años,1
2009,Tercero,Septiembre,Alicante/Alacant,31-40 años,41-50 años,1
2009,Tercero,Septiembre,Valencia/València,31-40 años,31-40 años,1
2009,Cuarto,Octubre,Córdoba,51-60 años,61-70 años,1
2009,Cuarto,Octubre,Málaga,21-30 años,21-30 años,1
2009,Cuarto,Octubre,Illes Balears,31-40 años,41-50 años,1
2009,Cuarto,Octubre,Tarragona,31-40 años,31-40 años,1
2009,Cuarto,Octubre,Tarragona,41-50 años,51-60 años,1
2009,Cuarto,Octubre,Alicante/Alacant,51-60 años,61-70 años,1
2009,Cuarto,Noviembre,La Rioja,31-40 años,31-40 años,1
2009,Cuarto,Diciembre,Almería,61-70 años,61-70 años,1
2009,Cuarto,Diciembre,Huelva,41-50 años,21-30 años,1
2009,Cuarto,Diciembre,Málaga,21-30 años,21-30 años,1
2009,Cuarto,Diciembre,Valencia/València,71-84 años,>=85 años,1
2009,Cuarto,Diciembre,Madrid,18-20 años,31-40 años,1
2010,Primero,Enero,Sevilla,41-50 años,51-60 años,1
2010,Primero,Enero,Illes Balears,41-50 años,51-60 años,1
2010,Primero,Enero,Madrid,31-40 años,31-40 años,1
2010,Primero,Febrero,Almería,21-30 años,31-40 años,1
2010,Primero,Febrero,Asturias,51-60 años,51-60 años,1
2010,Primero,Febrero,Tarragona,31-40 años,41-50 años,1
2010,Primero,Febrero,Madrid,21-30 años,31-40 años,1
2010,Primero,Marzo,Almería,41-50 años,41-50 años,1
2010,Primero,Marzo,Huelva,51-60 años,51-60 años,1
2010,Primero,Marzo,Santa Cruz de Tenerife,31-40 años,61-70 años,1
2010,Primero,Marzo,Burgos,21-30 años,31-40 años,1
2010,Primero,Marzo,Valladolid,51-60 años,51-60 años,1
2010,Primero,Marzo,Barcelona,31-40 años,31-40 años,1
2010,Primero,Marzo,Castellón/Castelló,51-60 años,61-70 años,1
2010,Segundo,Abril,Málaga,51-60 años,71-84 años,1
2010,Segundo,Abril,Zaragoza,21-30 años,41-50 años,1
2010,Segundo,Abril,Asturias,41-50 años,31-40 años,1
2010,Segundo,Abril,Asturias,51-60 años,51-60 años,1
2010,Segundo,Abril,Burgos,51-60 años,51-60 años,1
2010,Segundo,Abril,Alicante/Alacant,21-30 años,31-40 años,1
2010,Segundo,Abril,Valencia/València,51-60 años,41-50 años,1
2010,Segundo,Abril,Madrid,21-30 años,31-40 años,1
2010,Segundo,Mayo,Sevilla,31-40 años,31-40 años,1
2010,Segundo,Mayo,Sevilla,41-50 años,31-40 años,1
2010,Segundo,Mayo,Santa Cruz de Tenerife,31-40 años,31-40 años,1
2010,Segundo,Mayo,Barcelona,31-40 años,31-40 años,1
2010,Segundo,Mayo,Girona,41-50 años,51-60 años,1
2010,Segundo,Mayo,Murcia,61-70 años,51-60 años,1
2010,Segundo,Junio,Almería,31-40 años,31-40 años,1
2010,Segundo,Junio,Asturias,51-60 años,51-60 años,1
2010,Segundo,Junio,Santa Cruz de Tenerife,41-50 años,41-50 años,1
2010,Segundo,Junio,Girona,31-40 años,51-60 años,1
2010,Segundo,Junio,Alicante/Alacant,51-60 años,51-60 años,1
2010,Tercero,Julio,Cádiz,51-60 años,61-70 años,1
2010,Tercero,Julio,Granada,41-50 años,61-70 años,1
2010,Tercero,Julio,Zaragoza,41-50 años,41-50 años,1
2010,Tercero,Julio,Las Palmas,21-30 años,31-40 años,1
2010,Tercero,Julio,Santa Cruz de Tenerife,31-40 años,31-40 años,1
2010,Tercero,Julio,Santa Cruz de Tenerife,41-50 años,51-60 años,1
2010,Tercero,Julio,Cuenca,31-40 años,41-50 años,1
2010,Tercero,Julio,Cuenca,61-70 años,71-84 años,1
2010,Tercero,Julio,Barcelona,21-30 años,31-40 años,1
2010,Tercero,Julio,Bizkaia,31-40 años,41-50 años,1
2010,Tercero,Agosto,Girona,41-50 años,31-40 años,1
2010,Tercero,Agosto,Lugo,41-50 años,41-50 años,1
2010,Tercero,Septiembre,Almería,31-40 años,41-50 años,1
2010,Tercero,Septiembre,Córdoba,21-30 años,31-40 años,1
2010,Tercero,Septiembre,Asturias,21-30 años,21-30 años,1
2010,Tercero,Septiembre,Palencia,41-50 años,41-50 años,1
2010,Tercero,Septiembre,Barcelona,21-30 años,31-40 años,1
2010,Tercero,Septiembre,Girona,31-40 años,31-40 años,1
2010,Tercero,Septiembre,Castellón/Castelló,31-40 años,41-50 años,1
2010,Tercero,Septiembre,A Coruña,31-40 años,51-60 años,1
2010,Cuarto,Octubre,Granada,31-40 años,51-60 años,1
2010,Cuarto,Octubre,Málaga,71-84 años,71-84 años,1
2010,Cuarto,Octubre,Barcelona,41-50 años,41-50 años,1
2010,Cuarto,Octubre,Tarragona,21-30 años,31-40 años,1
2010,Cuarto,Octubre,Alicante/Alacant,51-60 años,51-60 años,1
2010,Cuarto,Octubre,Madrid,41-50 años,51-60 años,1
2010,Cuarto,Noviembre,Almería,31-40 años,41-50 años,1
2010,Cuarto,Noviembre,Sevilla,31-40 años,31-40 años,1
2010,Cuarto,Noviembre,Illes Balears,41-50 años,>=85 años,1
2010,Cuarto,Noviembre,Santa Cruz de Tenerife,31-40 años,31-40 años,1
2010,Cuarto,Noviembre,Valencia/València,51-60 años,41-50 años,1
2010,Cuarto,Noviembre,Madrid,16-17 años,18-20 años,1
2010,Cuarto,Noviembre,Madrid,71-84 años,71-84 años,1
2010,Cuarto,Diciembre,Málaga,21-30 años,21-30 años,1
2010,Cuarto,Diciembre,Ciudad Real,21-30 años,21-30 años,1
2010,Cuarto,Diciembre,Barcelona,41-50 años,31-40 años,1
2010,Cuarto,Diciembre,Alicante/Alacant,21-30 años,21-30 años,1
2010,Cuarto,Diciembre,Badajoz,41-50 años,51-60 años,1
2010,Cuarto,Diciembre,Madrid,31-40 años,41-50 años,1
2010,Cuarto,Diciembre,Bizkaia,21-30 años,21-30 años,1
2011,Primero,Enero,Granada,21-30 años,31-40 años,1
2011,Primero,Enero,Jaén,41-50 años,41-50 años,1
2011,Primero,Enero,Illes Balears,61-70 años,>=85 años,1
2011,Primero,Enero,Las Palmas,51-60 años,41-50 años,1
