"Año","Mes","Provincia","Tramo de edad Víctima","Tramo de edad Agresor","Número de mujeres víctimas mortales"
"Año 2003","Enero","Almería","41-50 años","51-60 años","1.0"
"Año 2003","Enero","Granada","71-84 años","71-84 años","1.0"
"Año 2003","Enero","Málaga","21-30 años","No consta","1.0"
"Año 2003","Enero","Santa Cruz de Tenerife","31-40 años","No consta","1.0"
"Año 2003","Enero","Barcelona","31-40 años","51-60 años","1.0"
"Año 2003","Enero","Barcelona","31-40 años","No consta","1.0"
"Año 2003","Enero","Barcelona","No consta","31-40 años","1.0"
"Año 2003","Enero","La Rioja","31-40 años","31-40 años","1.0"
"Año 2003","Febrero","Málaga","71-84 años","61-70 años","1.0"
"Año 2003","Febrero","Tarragona","21-30 años","No consta","1.0"
"Año 2003","Febrero","A Coruña","61-70 años","61-70 años","1.0"
"Año 2003","Febrero","La Rioja","21-30 años","31-40 años","1.0"
"Año 2003","Marzo","Cádiz","31-40 años","51-60 años","1.0"
"Año 2003","Marzo","Jaén","21-30 años","No consta","1.0"
"Año 2003","Marzo","Jaén","31-40 años","No consta","1.0"
"Año 2003","Marzo","A Coruña","41-50 años","41-50 años","1.0"
"Año 2003","Marzo","Madrid","61-70 años","61-70 años","1.0"
"Año 2003","Marzo","Murcia","21-30 años","No consta","1.0"
"Año 2003","Abril","Las Palmas","21-30 años","21-30 años","1.0"
"Año 2003","Abril","Barcelona","41-50 años","No consta","1.0"
"Año 2003","Abril","Alicante/Alacant","No consta","No consta","1.0"
"Año 2003","Abril","Valencia/València","31-40 años","31-40 años","1.0"
"Año 2003","Abril","Navarra","31-40 años","41-50 años","1.0"
"Año 2003","Mayo","Teruel","21-30 años","No consta","1.0"
"Año 2003","Mayo","Albacete","41-50 años","No consta","1.0"
"Año 2003","Mayo","Girona","31-40 años","No consta","1.0"
"Año 2003","Mayo","Tarragona","41-50 años","No consta","1.0"
"Año 2003","Mayo","Valencia/València","21-30 años","No consta","1.0"
"Año 2003","Mayo","Pontevedra","31-40 años","No consta","1.0"
"Año 2003","Junio","Zaragoza","31-40 años","No consta","1.0"
"Año 2003","Junio","Asturias","No consta","No consta","1.0"
"Año 2003","Junio","Salamanca","41-50 años","No consta","1.0"
"Año 2003","Junio","Barcelona","51-60 años","41-50 años","1.0"
"Año 2003","Junio","Lleida","61-70 años","61-70 años","1.0"
"Año 2003","Junio","A Coruña","31-40 años","31-40 años","1.0"
"Año 2003","Junio","Murcia","31-40 años","No consta","1.0"
"Año 2003","Junio","Ceuta","31-40 años","31-40 años","1.0"
"Año 2003","Julio","Illes Balears","41-50 años","No consta","1.0"
"Año 2003","Julio","Cantabria","31-40 años","31-40 años","1.0"
"Año 2003","Julio","Toledo","21-30 años","No consta","1.0"
"Año 2003","Julio","Barcelona","31-40 años","No consta","1.0"
"Año 2003","Julio","Girona","No consta","31-40 años","1.0"
"Año 2003","Julio","Castellón/Castelló","No consta","No consta","1.0"
"Año 2003","Julio","Pontevedra","31-40 años","No consta","1.0"
"Año 2003","Julio","Madrid","41-50 años","No consta","1.0"
"Año 2003","Agosto","Illes Balears","51-60 años","51-60 años","1.0"
"Año 2003","Agosto","Illes Balears","51-60 años","No consta","1.0"
"Año 2003","Agosto","Santa Cruz de Tenerife","31-40 años","31-40 años","1.0"
"Año 2003","Agosto","Santa Cruz de Tenerife","No consta","No consta","1.0"
"Año 2003","Agosto","Valladolid","61-70 años","No consta","1.0"
"Año 2003","Agosto","Barcelona","31-40 años","No consta","1.0"
"Año 2003","Agosto","Valencia/València","18-20 años","No consta","1.0"
"Año 2003","Agosto","Madrid","41-50 años","51-60 años","1.0"
"Año 2003","Septiembre","Jaén",">=85 años",">=85 años","1.0"
"Año 2003","Septiembre","Sevilla","41-50 años","41-50 años","1.0"
"Año 2003","Septiembre","Asturias","21-30 años","No consta","1.0"
"Año 2003","Septiembre","Valencia/València","21-30 años","31-40 años","1.0"
"Año 2003","Octubre","Badajoz","31-40 años","31-40 años","1.0"
"Año 2003","Octubre","Murcia","21-30 años","No consta","1.0"
"Año 2003","Noviembre","Cádiz","21-30 años","No consta","1.0"
"Año 2003","Noviembre","Cádiz","41-50 años","51-60 años","1.0"
"Año 2003","Noviembre","Córdoba","31-40 años","No consta","1.0"
"Año 2003","Noviembre","Sevilla","31-40 años","41-50 años","1.0"
"Año 2003","Noviembre","Illes Balears","31-40 años","No consta","1.0"
"Año 2003","Noviembre","Las Palmas","41-50 años","51-60 años","1.0"
"Año 2003","Noviembre","León","51-60 años","No consta","1.0"
"Año 2003","Noviembre","Valladolid","41-50 años","41-50 años","1.0"
"Año 2003","Noviembre","Valencia/València","41-50 años","51-60 años","1.0"
"Año 2003","Diciembre","Las Palmas","31-40 años","41-50 años","1.0"
"Año 2003","Diciembre","Madrid","21-30 años","41-50 años","1.0"
"Año 2003","Diciembre","Madrid","31-40 años","41-50 años","1.0"
"Año 2004","Enero","Illes Balears","31-40 años","41-50 años","1.0"
"Año 2004","Enero","Badajoz","71-84 años","71-84 años","1.0"
"Año 2004","Febrero","Córdoba","21-30 años","21-30 años","1.0"
"Año 2004","Febrero","Sevilla","71-84 años","No consta","1.0"
"Año 2004","Febrero","Illes Balears","31-40 años","21-30 años","1.0"
"Año 2004","Febrero","Madrid","21-30 años","31-40 años","1.0"
"Año 2004","Febrero","Bizkaia","31-40 años","31-40 años","1.0"
"Año 2004","Marzo","Almería","21-30 años","31-40 años","1.0"
