"Año","Trimestre","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Gipuzkoa","Bizkaia","La Rioja","Ceuta","Melilla"
"Año 2009","Primero","679.0","811.0","354.0","1029.0","583.0","440.0","1665.0","1091.0","91.0","39.0","565.0","529.0","1142.0","1222.0","873.0","280.0","118.0","234.0","239.0","80.0","156.0","64.0","43.0","453.0","70.0","246.0","265.0","98.0","319.0","350.0","2994.0","522.0","229.0","643.0","1895.0","338.0","2532.0","253.0","216.0","528.0","135.0","198.0","560.0","5429.0","1388.0","258.0","191.0","310.0","527.0","232.0","64.0","85.0"
"Año 2009","Segundo","715.0","924.0","348.0","1030.0","612.0","398.0","1131.0","1563.0","94.0","43.0","605.0","643.0","1092.0","1298.0","1028.0","273.0","111.0","164.0","285.0","73.0","137.0","72.0","58.0","476.0","84.0","207.0","274.0","116.0","409.0","412.0","2969.0","525.0","292.0","794.0","2025.0","461.0","2448.0","272.0","115.0","647.0","175.0","169.0","596.0","5427.0","1595.0","260.0","215.0","295.0","658.0","189.0","84.0","97.0"
"Año 2009","Tercero","665.0","1098.0","433.0","1055.0","501.0","451.0","1347.0","1704.0","101.0","37.0","682.0","696.0","1203.0","1309.0","972.0","326.0","114.0","202.0","142.0","64.0","150.0","77.0","38.0","268.0","73.0","269.0","296.0","99.0","245.0","441.0","3147.0","575.0","299.0","707.0","2024.0","484.0","2546.0","301.0","156.0","637.0","170.0","127.0","659.0","5013.0","1574.0","383.0","140.0","263.0","558.0","239.0","112.0","98.0"
"Año 2009","Cuarto","545.0","860.0","200.0","774.0","407.0","345.0","1025.0","1360.0","85.0","36.0","470.0","505.0","1016.0","1334.0","946.0","293.0","87.0","198.0","173.0","67.0","130.0","60.0","32.0","232.0","66.0","237.0","245.0","92.0","381.0","369.0","3152.0","488.0","248.0","634.0","1813.0","380.0","2404.0","288.0","101.0","588.0","101.0","125.0","652.0","4994.0","1528.0","335.0","194.0","204.0","503.0","174.0","74.0","81.0"
"Año 2010","Primero","638.0","810.0","256.0","908.0","430.0","332.0","1320.0","1578.0","76.0","43.0","429.0","554.0","991.0","1299.0","888.0","301.0","122.0","186.0","241.0","73.0","126.0","45.0","31.0","242.0","64.0","199.0","274.0","100.0","405.0","406.0","3140.0","499.0","203.0","700.0","1614.0","422.0","2537.0","289.0","172.0","551.0","121.0","142.0","611.0","5061.0","1443.0","357.0","180.0","248.0","528.0","129.0","80.0","102.0"
"Año 2010","Segundo","680.0","960.0","282.0","944.0","465.0","398.0","1549.0","1718.0","96.0","46.0","540.0","493.0","1138.0","1123.0","859.0","321.0","114.0","159.0","158.0","83.0","133.0","57.0","28.0","274.0","58.0","267.0","307.0","112.0","369.0","386.0","3231.0","548.0","245.0","771.0","1754.0","477.0","2621.0","361.0","140.0","432.0","127.0","137.0","581.0","5661.0","1430.0","364.0","189.0","258.0","482.0","152.0","73.0","105.0"
"Año 2010","Tercero","780.0","1039.0","264.0","929.0","414.0","435.0","1324.0","1918.0","93.0","65.0","583.0","594.0","1200.0","1176.0","932.0","344.0","100.0","161.0","239.0","75.0","136.0","76.0","39.0","272.0","74.0","225.0","345.0","117.0","376.0","407.0","3436.0","635.0","268.0","817.0","2113.0","581.0","2672.0","265.0","188.0","538.0","146.0","261.0","493.0","5547.0","1416.0","402.0","205.0","285.0","459.0","203.0","67.0","82.0"
"Año 2010","Cuarto","654.0","994.0","224.0","902.0","403.0","366.0","1324.0","1809.0","69.0","29.0","504.0","506.0","902.0","1131.0","918.0","265.0","109.0","147.0","180.0","84.0","109.0","53.0","39.0","267.0","73.0","251.0","245.0","118.0","402.0","354.0","2975.0","493.0","209.0","696.0","1665.0","428.0","2485.0","222.0","141.0","476.0","108.0","145.0","401.0","4926.0","1224.0","347.0","189.0","234.0","434.0","176.0","53.0","84.0"
"Año 2011","Primero","677.0","862.0","402.0","894.0","393.0","378.0","1263.0","1848.0","103.0","43.0","619.0","610.0","1032.0","1088.0","859.0","262.0","104.0","183.0","216.0","88.0","120.0","46.0","38.0","345.0","62.0","191.0","288.0","139.0","394.0","313.0","2939.0","504.0","201.0","652.0","1784.0","395.0","2443.0","284.0","158.0","505.0","158.0","158.0","542.0","4913.0","1334.0","344.0","172.0","290.0","505.0","177.0","103.0","71.0"
"Año 2011","Segundo","665.0","813.0","292.0","868.0","409.0","339.0","1543.0","2140.0","121.0","56.0","679.0","678.0","1071.0","1231.0","906.0","290.0","68.0","159.0","214.0","69.0","124.0","49.0","34.0","357.0","74.0","211.0","344.0","146.0","177.0","378.0","3079.0","532.0","245.0","617.0","1869.0","385.0","2488.0","384.0","131.0","573.0","139.0","123.0","515.0","5443.0","1546.0","375.0","223.0","313.0","511.0","183.0","78.0","90.0"
