"Año","Mes","Trimestre","Llamante","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Bizkaia","Gipuzkoa","La Rioja","Ceuta","Melilla","No consta"
"Año 2007","Septiembre","Tercero","Usuaria","3.0","2.0","7.0","6.0","4.0","","8.0","16.0","1.0","","4.0","5.0","6.0","20.0","6.0","8.0","3.0","","2.0","2.0","1.0","","1.0","2.0","","","","","1.0","1.0","27.0","3.0","1.0","4.0","8.0","2.0","4.0","3.0","4.0","5.0","","2.0","2.0","99.0","6.0","4.0","1.0","2.0","1.0","","1.0","1.0","16.0"
"Año 2007","Septiembre","Tercero","Familiares/Personas allegadas","","","3.0","1.0","2.0","","5.0","9.0","","","","2.0","1.0","3.0","","1.0","1.0","","","1.0","","","","6.0","","","","","","1.0","5.0","","","1.0","5.0","","4.0","2.0","1.0","1.0","","","1.0","30.0","1.0","","","2.0","","","","1.0","3.0"
"Año 2007","Septiembre","Tercero","Otros","","","","1.0","2.0","2.0","1.0","1.0","1.0","1.0","","1.0","1.0","","","","","1.0","2.0","","","","","1.0","","","","1.0","","1.0","1.0","","","4.0","2.0","","1.0","","","1.0","","","","20.0","1.0","","1.0","1.0","","","","","3.0"
"Año 2007","Octubre","Cuarto","Usuaria","49.0","66.0","59.0","77.0","21.0","39.0","112.0","201.0","9.0","25.0","41.0","76.0","97.0","106.0","104.0","49.0","16.0","20.0","32.0","16.0","27.0","14.0","4.0","51.0","6.0","22.0","30.0","6.0","12.0","53.0","389.0","32.0","23.0","40.0","122.0","28.0","138.0","64.0","29.0","84.0","18.0","16.0","47.0","1022.0","105.0","33.0","14.0","47.0","24.0","19.0","10.0","6.0","69.0"
"Año 2007","Octubre","Cuarto","Familiares/Personas allegadas","2.0","20.0","8.0","12.0","6.0","6.0","32.0","44.0","","1.0","11.0","16.0","16.0","30.0","18.0","8.0","4.0","3.0","3.0","1.0","3.0","","3.0","7.0","2.0","2.0","12.0","3.0","4.0","7.0","78.0","10.0","2.0","4.0","19.0","7.0","37.0","10.0","5.0","14.0","2.0","1.0","8.0","184.0","20.0","10.0","5.0","11.0","9.0","5.0","1.0","1.0","17.0"
"Año 2007","Octubre","Cuarto","Otros","1.0","3.0","2.0","3.0","1.0","1.0","3.0","2.0","1.0","","4.0","1.0","3.0","2.0","5.0","1.0","","","4.0","","4.0","","","3.0","1.0","1.0","2.0","","1.0","4.0","13.0","","1.0","1.0","4.0","1.0","9.0","4.0","1.0","6.0","2.0","1.0","2.0","34.0","2.0","1.0","4.0","","1.0","1.0","","","9.0"
"Año 2007","Noviembre","Cuarto","Usuaria","45.0","48.0","44.0","74.0","27.0","46.0","111.0","177.0","6.0","13.0","45.0","84.0","93.0","117.0","93.0","55.0","13.0","25.0","45.0","13.0","22.0","18.0","4.0","48.0","12.0","7.0","36.0","9.0","7.0","55.0","363.0","26.0","28.0","36.0","177.0","31.0","169.0","45.0","26.0","118.0","10.0","28.0","46.0","1052.0","139.0","34.0","22.0","71.0","18.0","13.0","6.0","6.0","26.0"
"Año 2007","Noviembre","Cuarto","Familiares/Personas allegadas","12.0","6.0","10.0","12.0","4.0","5.0","19.0","51.0","4.0","1.0","10.0","17.0","10.0","25.0","18.0","3.0","3.0","4.0","8.0","3.0","13.0","","4.0","6.0","","7.0","5.0","1.0","2.0","16.0","76.0","9.0","4.0","4.0","29.0","4.0","38.0","3.0","9.0","16.0","3.0","","11.0","224.0","22.0","10.0","5.0","14.0","6.0","4.0","1.0","2.0","2.0"
"Año 2007","Noviembre","Cuarto","Otros","","2.0","3.0","2.0","1.0","2.0","1.0","9.0","","","1.0","1.0","3.0","4.0","","1.0","","3.0","","","1.0","","","2.0","","1.0","2.0","2.0","","1.0","7.0","","","1.0","5.0","1.0","6.0","3.0","2.0","3.0","2.0","","3.0","32.0","","","","4.0","2.0","","","","2.0"
"Año 2007","Diciembre","Cuarto","Usuaria","56.0","73.0","52.0","99.0","34.0","46.0","134.0","230.0","22.0","2.0","66.0","88.0","119.0","142.0","101.0","73.0","31.0","20.0","51.0","15.0","31.0","16.0","17.0","60.0","18.0","21.0","27.0","19.0","16.0","72.0","477.0","32.0","32.0","58.0","199.0","43.0","285.0","51.0","23.0","115.0","28.0","20.0","64.0","1294.0","142.0","56.0","26.0","77.0","34.0","17.0","6.0","6.0","28.0"
