"Año","Trimestre","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Gipuzkoa","Bizkaia","La Rioja","Ceuta","Melilla"
"Año 2009","Primero","82.0","312.0","125.0","163.0","138.0","101.0","379.0","509.0","20.0","19.0","140.0","191.0","399.0","417.0","340.0","111.0","35.0","73.0","109.0","31.0","44.0","28.0","17.0","65.0","13.0","86.0","105.0","47.0","68.0","176.0","1147.0","219.0","135.0","260.0","608.0","135.0","420.0","104.0","56.0","99.0","42.0","63.0","129.0","1540.0","466.0","97.0","49.0","73.0","125.0","81.0","31.0","4.0"
"Año 2009","Segundo","89.0","311.0","109.0","136.0","155.0","99.0","385.0","547.0","26.0","17.0","158.0","217.0","383.0","470.0","303.0","87.0","34.0","49.0","108.0","29.0","47.0","31.0","20.0","91.0","20.0","87.0","129.0","56.0","73.0","259.0","1138.0","261.0","73.0","258.0","665.0","131.0","437.0","124.0","47.0","94.0","38.0","38.0","148.0","1687.0","550.0","103.0","52.0","91.0","153.0","73.0","26.0","5.0"
"Año 2009","Tercero","102.0","303.0","139.0","164.0","173.0","110.0","373.0","554.0","13.0","11.0","151.0","224.0","424.0","398.0","314.0","111.0","30.0","57.0","51.0","29.0","48.0","36.0","29.0","110.0","13.0","103.0","161.0","36.0","71.0","236.0","1199.0","235.0","71.0","282.0","618.0","132.0","512.0","144.0","74.0","109.0","46.0","38.0","164.0","1812.0","500.0","87.0","30.0","89.0","96.0","82.0","13.0","2.0"
"Año 2009","Cuarto","90.0","181.0","125.0","90.0","145.0","88.0","278.0","463.0","25.0","9.0","118.0","201.0","260.0","453.0","362.0","90.0","17.0","41.0","78.0","18.0","41.0","15.0","6.0","106.0","15.0","74.0","99.0","41.0","80.0","194.0","1013.0","228.0","67.0","201.0","528.0","124.0","411.0","117.0","48.0","103.0","40.0","40.0","131.0","1531.0","462.0","79.0","20.0","73.0","138.0","58.0","11.0","3.0"
"Año 2010","Primero","99.0","247.0","87.0","116.0","131.0","100.0","217.0","408.0","20.0","19.0","115.0","199.0","266.0","475.0","304.0","84.0","36.0","57.0","97.0","27.0","34.0","16.0","20.0","112.0","20.0","81.0","130.0","40.0","66.0","236.0","1063.0","188.0","52.0","221.0","499.0","114.0","501.0","132.0","46.0","104.0","47.0","50.0","119.0","1450.0","427.0","63.0","16.0","69.0","113.0","50.0","15.0","2.0"
"Año 2010","Segundo","112.0","314.0","101.0","98.0","161.0","93.0","252.0","481.0","19.0","15.0","133.0","208.0","424.0","400.0","269.0","77.0","28.0","51.0","83.0","22.0","23.0","27.0","20.0","100.0","14.0","72.0","108.0","24.0","93.0","234.0","1071.0","188.0","73.0","238.0","588.0","109.0","525.0","161.0","58.0","83.0","50.0","78.0","140.0","1582.0","499.0","82.0","34.0","73.0","124.0","63.0","14.0","1.0"
"Año 2010","Tercero","93.0","279.0","105.0","106.0","165.0","117.0","287.0","460.0","25.0","13.0","119.0","207.0","363.0","310.0","327.0","88.0","25.0","66.0","111.0","16.0","20.0","36.0","21.0","122.0","12.0","76.0","125.0","31.0","86.0","166.0","1116.0","257.0","70.0","276.0","692.0","149.0","475.0","144.0","58.0","134.0","57.0","40.0","119.0","1570.0","576.0","87.0","65.0","88.0","128.0","80.0","17.0","0.0"
"Año 2010","Cuarto","62.0","263.0","90.0","87.0","141.0","83.0","258.0","382.0","13.0","11.0","101.0","204.0","215.0","333.0","301.0","80.0","29.0","50.0","104.0","15.0","17.0","12.0","23.0","160.0","25.0","70.0","125.0","35.0","52.0","204.0","885.0","189.0","70.0","197.0","455.0","140.0","465.0","111.0","54.0","81.0","47.0","50.0","143.0","1374.0","392.0","69.0","56.0","77.0","151.0","68.0","24.0","0.0"
"Año 2011","Primero","74.0","224.0","101.0","107.0","110.0","86.0","313.0","450.0","25.0","13.0","127.0","169.0","213.0","269.0","293.0","82.0","28.0","60.0","105.0","24.0","27.0","18.0","26.0","96.0","17.0","74.0","87.0","33.0","93.0","166.0","878.0","176.0","65.0","216.0","580.0","128.0","414.0","162.0","50.0","84.0","49.0","30.0","123.0","1445.0","493.0","66.0","36.0","89.0","94.0","71.0","38.0","0.0"
"Año 2011","Segundo","63.0","203.0","114.0","91.0","147.0","85.0","246.0","507.0","18.0","21.0","137.0","193.0","206.0","359.0","299.0","76.0","40.0","75.0","80.0","19.0","20.0","20.0","21.0","79.0","11.0","94.0","107.0","48.0","26.0","186.0","1000.0","194.0","65.0","212.0","646.0","149.0","434.0","93.0","34.0","95.0","49.0","37.0","105.0","1469.0","363.0","80.0","84.0","79.0","73.0","70.0","34.0","2.0"
