Año,Trimestre,Provincia,Numero_ordenes
2009,Primero,Almería,82
2009,Primero,Cádiz,312
2009,Primero,Córdoba,125
2009,Primero,Granada,163
2009,Primero,Huelva,138
2009,Primero,Jaén,101
2009,Primero,Málaga,379
2009,Primero,Sevilla,509
2009,Primero,Huesca,20
2009,Primero,Teruel,19
2009,Primero,Zaragoza,140
2009,Primero,Asturias,191
2009,Primero,Illes Balears,399
2009,Primero,Las Palmas,417
2009,Primero,Santa Cruz de Tenerife,340
2009,Primero,Cantabria,111
2009,Primero,Ávila,35
2009,Primero,Burgos,73
2009,Primero,León,109
2009,Primero,Palencia,31
2009,Primero,Salamanca,44
2009,Primero,Segovia,28
2009,Primero,Soria,17
2009,Primero,Valladolid,65
2009,Primero,Zamora,13
2009,Primero,Albacete,86
2009,Primero,Ciudad Real,105
2009,Primero,Cuenca,47
2009,Primero,Guadalajara,68
2009,Primero,Toledo,176
2009,Primero,Barcelona,1147
2009,Primero,Girona,219
2009,Primero,Lleida,135
2009,Primero,Tarragona,260
2009,Primero,Alicante/Alacant,608
2009,Primero,Castellón/Castelló,135
2009,Primero,Valencia/València,420
2009,Primero,Badajoz,104
2009,Primero,Cáceres,56
2009,Primero,A Coruña,99
2009,Primero,Lugo,42
2009,Primero,Ourense,63
2009,Primero,Pontevedra,129
2009,Primero,Madrid,1540
2009,Primero,Murcia,466
2009,Primero,Navarra,97
2009,Primero,Araba/Álava,49
2009,Primero,Gipuzkoa,73
2009,Primero,Bizkaia,125
2009,Primero,La Rioja,81
2009,Primero,Ceuta,31
2009,Primero,Melilla,4
2009,Segundo,Almería,89
2009,Segundo,Cádiz,311
2009,Segundo,Córdoba,109
2009,Segundo,Granada,136
2009,Segundo,Huelva,155
2009,Segundo,Jaén,99
2009,Segundo,Málaga,385
2009,Segundo,Sevilla,547
2009,Segundo,Huesca,26
2009,Segundo,Teruel,17
2009,Segundo,Zaragoza,158
2009,Segundo,Asturias,217
2009,Segundo,Illes Balears,383
2009,Segundo,Las Palmas,470
2009,Segundo,Santa Cruz de Tenerife,303
2009,Segundo,Cantabria,87
2009,Segundo,Ávila,34
2009,Segundo,Burgos,49
2009,Segundo,León,108
2009,Segundo,Palencia,29
2009,Segundo,Salamanca,47
2009,Segundo,Segovia,31
2009,Segundo,Soria,20
2009,Segundo,Valladolid,91
2009,Segundo,Zamora,20
2009,Segundo,Albacete,87
2009,Segundo,Ciudad Real,129
2009,Segundo,Cuenca,56
2009,Segundo,Guadalajara,73
2009,Segundo,Toledo,259
2009,Segundo,Barcelona,1138
2009,Segundo,Girona,261
2009,Segundo,Lleida,73
2009,Segundo,Tarragona,258
2009,Segundo,Alicante/Alacant,665
2009,Segundo,Castellón/Castelló,131
2009,Segundo,Valencia/València,437
2009,Segundo,Badajoz,124
2009,Segundo,Cáceres,47
2009,Segundo,A Coruña,94
2009,Segundo,Lugo,38
2009,Segundo,Ourense,38
2009,Segundo,Pontevedra,148
2009,Segundo,Madrid,1687
2009,Segundo,Murcia,550
2009,Segundo,Navarra,103
2009,Segundo,Araba/Álava,52
2009,Segundo,Gipuzkoa,91
2009,Segundo,Bizkaia,153
2009,Segundo,La Rioja,73
2009,Segundo,Ceuta,26
2009,Segundo,Melilla,5
2009,Tercero,Almería,102
2009,Tercero,Cádiz,303
2009,Tercero,Córdoba,139
2009,Tercero,Granada,164
2009,Tercero,Huelva,173
2009,Tercero,Jaén,110
2009,Tercero,Málaga,373
2009,Tercero,Sevilla,554
2009,Tercero,Huesca,13
2009,Tercero,Teruel,11
2009,Tercero,Zaragoza,151
2009,Tercero,Asturias,224
2009,Tercero,Illes Balears,424
2009,Tercero,Las Palmas,398
2009,Tercero,Santa Cruz de Tenerife,314
2009,Tercero,Cantabria,111
2009,Tercero,Ávila,30
2009,Tercero,Burgos,57
2009,Tercero,León,51
2009,Tercero,Palencia,29
2009,Tercero,Salamanca,48
2009,Tercero,Segovia,36
2009,Tercero,Soria,29
2009,Tercero,Valladolid,110
2009,Tercero,Zamora,13
2009,Tercero,Albacete,103
2009,Tercero,Ciudad Real,161
2009,Tercero,Cuenca,36
2009,Tercero,Guadalajara,71
2009,Tercero,Toledo,236
2009,Tercero,Barcelona,1199
2009,Tercero,Girona,235
2009,Tercero,Lleida,71
2009,Tercero,Tarragona,282
2009,Tercero,Alicante/Alacant,618
2009,Tercero,Castellón/Castelló,132
2009,Tercero,Valencia/València,512
2009,Tercero,Badajoz,144
2009,Tercero,Cáceres,74
2009,Tercero,A Coruña,109
2009,Tercero,Lugo,46
2009,Tercero,Ourense,38
2009,Tercero,Pontevedra,164
2009,Tercero,Madrid,1812
2009,Tercero,Murcia,500
2009,Tercero,Navarra,87
2009,Tercero,Araba/Álava,30
2009,Tercero,Gipuzkoa,89
2009,Tercero,Bizkaia,96
2009,Tercero,La Rioja,82
2009,Tercero,Ceuta,13
2009,Tercero,Melilla,2
2009,Cuarto,Almería,90
2009,Cuarto,Cádiz,181
2009,Cuarto,Córdoba,125
2009,Cuarto,Granada,90
