"Año","Mes","Tramo de edad Agresor","Tramo de edad Víctima","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Bizkaia","Gipuzkoa","La Rioja","Ceuta","Melilla"
"Año 2003","Enero","31-40 años","31-40 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"Año 2003","Enero","31-40 años","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Enero","51-60 años","31-40 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Enero","51-60 años","41-50 años","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Enero","71-84 años","71-84 años","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Enero","No consta","21-30 años","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Enero","No consta","31-40 años","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Febrero","31-40 años","21-30 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"Año 2003","Febrero","61-70 años","61-70 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","",""
"Año 2003","Febrero","61-70 años","71-84 años","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Febrero","No consta","21-30 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","",""
"Año 2003","Marzo","41-50 años","41-50 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","",""
"Año 2003","Marzo","51-60 años","31-40 años","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Marzo","61-70 años","61-70 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2003","Marzo","No consta","21-30 años","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2003","Marzo","No consta","31-40 años","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Abril","21-30 años","21-30 años","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Abril","31-40 años","31-40 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2003","Abril","41-50 años","31-40 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"Año 2003","Abril","No consta","41-50 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Abril","No consta","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","",""
"Año 2003","Mayo","No consta","21-30 años","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2003","Mayo","No consta","31-40 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","1.0","","","","","","","","",""
"Año 2003","Mayo","No consta","41-50 años","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","",""
"Año 2003","Junio","31-40 años","31-40 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","1.0",""
"Año 2003","Junio","41-50 años","51-60 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Junio","61-70 años","61-70 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","",""
"Año 2003","Junio","No consta","31-40 años","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2003","Junio","No consta","41-50 años","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Junio","No consta","No consta","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Julio","31-40 años","31-40 años","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Julio","31-40 años","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Julio","No consta","21-30 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Julio","No consta","31-40 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","1.0","","","","","","","","",""
"Año 2003","Julio","No consta","41-50 años","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2003","Julio","No consta","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","",""
"Año 2003","Agosto","31-40 años","31-40 años","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Agosto","51-60 años","41-50 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2003","Agosto","51-60 años","51-60 años","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Agosto","No consta","18-20 años","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
